aggregated_bs_id,type,n_base_stations,lng,lat
345,AGGREGATED,7,9.228976583147317,45.386723811941714
346,LTE,1,9.232498,45.386459
347,LTE,1,9.2360687255859,45.386581420898
348,LTE,1,9.237874,45.386031
349,LTE,1,9.2443084716797,45.386581420898
350,AGGREGATED,4,9.2460250854492,45.387268066406
351,LTE,1,9.251724,45.387759
352,LTE,1,9.262828,45.38775
353,AGGREGATED,2,9.264457,45.3871635
354,LTE,1,9.268882,45.385933
355,LTE,1,9.270264,45.386398
356,LTE,1,9.272804,45.386925
357,LTE,1,9.283916,45.39034
358,LTE,1,9.294434,45.386581
359,AGGREGATED,3,9.294728666666666,45.38624066666666
360,AGGREGATED,2,9.29944605615235,45.386856210449
361,LTE,1,9.3019866943359,45.386581420898
362,LTE,1,9.308277,45.389214
363,LTE,1,9.0149688720703,45.404434204102
364,LTE,1,9.135123,45.390069
365,AGGREGATED,6,9.138888236328134,45.389471167643336
366,LTE,1,9.141077,45.388553
367,LTE,1,9.146142,45.390701
368,LTE,1,9.148231,45.391018
369,LTE,1,9.151133,45.39008
370,LTE,1,9.154314,45.390704
371,AGGREGATED,5,9.15761756933594,45.389477600586
372,AGGREGATED,5,9.1597388296875,45.389086001172
373,AGGREGATED,2,9.1622470053711,45.389255501465
374,AGGREGATED,2,9.1656502963867,45.389527001465
375,AGGREGATED,2,9.1682155,45.389328
376,LTE,1,9.171524,45.387955
377,AGGREGATED,2,9.17446,45.388899
378,LTE,1,9.1783905029297,45.38932800293
379,AGGREGATED,3,9.1807947919922,45.38899500097667
380,AGGREGATED,2,9.184449,45.3900665
381,LTE,1,9.187465,45.390446
382,AGGREGATED,2,9.1895295,45.3900055
383,AGGREGATED,2,9.192155,45.389126000000005
384,LTE,1,9.1948699951172,45.38932800293
385,AGGREGATED,2,9.19842643408205,45.389506001465
386,AGGREGATED,5,9.20225301835936,45.389426002344
387,LTE,1,9.206507,45.389509
388,AGGREGATED,2,9.2091175,45.389136500000006
389,AGGREGATED,7,9.212102641043527,45.389237143275714
390,AGGREGATED,6,9.21441567822265,45.389358500488335
391,AGGREGATED,2,9.217764,45.3892345
392,AGGREGATED,2,9.2195891166992,45.389053501465
393,AGGREGATED,2,9.2218535,45.3883695
394,LTE,1,9.2305755615234,45.386581420898
395,LTE,1,9.241534,45.39054
396,LTE,1,9.243833,45.390149
397,LTE,1,9.2456817626953,45.387954711914
398,LTE,1,9.2539215087891,45.390701293945
399,AGGREGATED,2,9.255997,45.3898375
400,LTE,1,9.256668,45.390015
401,AGGREGATED,3,9.262767933593734,45.38920400195334
402,LTE,1,9.26371,45.388227
403,LTE,1,9.268616,45.390152
404,AGGREGATED,2,9.2897985,45.3896485
405,AGGREGATED,2,9.2916748286133,45.389263001465
406,LTE,1,9.295697,45.388069
407,LTE,1,9.297725,45.388712
408,LTE,1,9.3006134033203,45.38932800293
409,LTE,1,9.0808868408203,45.398941040039
