type,lng,lat,cellId,distance,n_base_stations,aggregated_bs_id
LTE,9.091873,45.464467,5127,0.16743591746261113,1,2236
LTE,9.0959930419922,45.464859008789,5128,0.19503440818372014,1,2237
AGGREGATED,9.0966796875,45.464859008789,5129,0.0,2,2238
AGGREGATED,9.100112915039068,45.465774536133004,5130,0.0,3,2239
LTE,9.1014862060547,45.464859008789,5131,0.15113091285725438,1,2240
LTE,9.108353,45.464572,5132,0.23389743663012483,1,2166
LTE,9.108353,45.464572,5133,0.0,1,2166
AGGREGATED,9.113237,45.465163000000004,5134,0.0,2,2241
AGGREGATED,9.11461805810545,45.465631649902505,5135,0.0,2,2242
LTE,9.1179656982422,45.466232299805,5136,0.0,1,2243
AGGREGATED,9.121527785644549,45.465502649902504,5137,0.0,2,2244
LTE,9.1234588623047,45.466232299805,5138,0.0,1,2245
AGGREGATED,9.1273484359375,45.465460861718796,5139,0.0,5,2246
AGGREGATED,9.130783081054666,45.464859008789,5140,0.0,3,2247
LTE,9.1316986083984,45.464859008789,5141,0.1402756590141865,1,2248
AGGREGATED,9.136976512251401,45.46504873206673,5142,0.0,11,2249
AGGREGATED,9.1385650634766,45.465545654297,5143,0.0,2,2250
AGGREGATED,9.142265599066823,45.46516192610678,5144,0.0,9,2251
AGGREGATED,9.145050689019111,45.46532970290801,5145,0.0,9,2252
AGGREGATED,9.147769230912628,45.46554787668682,5146,0.0,11,2253
AGGREGATED,9.151128325976561,45.465666321679805,5147,0.0,5,2254
AGGREGATED,9.154854841905395,45.46589117263468,5148,0.0,18,2255
AGGREGATED,9.156875610351568,45.465774536133004,5149,0.0,3,2256
AGGREGATED,9.159593000837045,45.46501376088172,5150,0.0,7,2257
AGGREGATED,9.16397764819335,45.466310324951245,5151,0.0,4,2258
AGGREGATED,9.166088139559672,45.465285056108,5152,0.0,11,2259
AGGREGATED,9.16917907649739,45.465949433268335,5153,0.0,9,2260
AGGREGATED,9.171859530381955,45.46588143424489,5154,0.0,9,2261
AGGREGATED,9.175581385184142,45.465728636300284,5155,0.0,14,2262
AGGREGATED,9.178040412062881,45.46556931115147,5156,0.0,21,2263
AGGREGATED,9.181688502832035,45.465638836230596,5157,0.0,20,2264
AGGREGATED,9.184602755,45.46568328867192,5158,0.0,25,2265
AGGREGATED,9.187036594371445,45.465310564808284,5159,0.0,44,2266
AGGREGATED,9.190303357954543,45.46522370158621,5160,0.0,66,2267
AGGREGATED,9.193359566479497,45.46514676188963,5161,0.0,40,2268
AGGREGATED,9.196653230723497,45.46588197537373,5162,0.0,23,2269
AGGREGATED,9.199897248901376,45.465357389648496,5163,0.0,16,2270
AGGREGATED,9.202718515706357,45.465894650634915,5164,0.0,12,2271
AGGREGATED,9.205822253305293,45.465572916015695,5165,0.0,13,2272
AGGREGATED,9.207432480346673,45.46541366467287,5166,0.0,8,2273
AGGREGATED,9.210833287988288,45.4654015608399,5167,0.0,10,2274
AGGREGATED,9.2151528400879,45.46514975219725,5168,0.0,4,2275
